evidence_id,citation,year,evidence_type,mission_and_task,dynamics_fidelity,objective_and_constraints,uncertainty_treatment,input_data_and_availability,classical_algorithm,quantum_algorithm,quantum_resources,optimizer_and_tuning,split_and_leakage_controls,classical_baselines,primary_metrics,uncertainty_and_statistics,hardware_vs_simulation,code_availability,failure_reporting,reported_limitations,gate4_implication,quality_data_provenance,quality_physics_mission_fidelity,quality_baseline_fairness,quality_split_leakage,quality_statistical_uncertainty,quality_quantum_resource_reporting,quality_hardware_realism,quality_reproducibility,quality_claim_calibration,source_url,doi,screening_status
E011,"Steffen, Falck, and Faller, Q-Law for Rapid Assessment of Low-Thrust Cislunar Trajectories via Automatic Differentiation",2025,primary cislunar guidance research,Rapid low-thrust cislunar trajectory assessment,Cislunar low-thrust guidance approximation,Rapid trajectory assessment under Q-law guidance,Sensitivity-focused rather than Artemis covariance,NASA technical manuscript,Automatic-differentiation Q-law guidance,not_applicable,not_applicable,Guidance parameters described in source,not_a_supervised_benchmark,Numerical cislunar trajectories,Trajectory feasibility/cost and speed,No human-rated confirmatory distribution,Classical simulation,not_verified_public,Approximation/domain limits discussed,"Low-thrust model is a transferable low-fidelity reference, not Orion truth",Supports physics-derived features and low-fidelity residual comparator,partial,partial,partial,unclear,partial,not_applicable,not_applicable,partial,partial,https://ntrs.nasa.gov/api/citations/20240016341/downloads/Nate_Steffen_AAS_Final_Manuscript_with_copyright.pdf,,included_primary_or_authoritative_record
E012,"NASA, NASA-STD-7009B Standard for Models and Simulations",2024,authoritative technical standard,NASA model and simulation credibility,applies_across_model_fidelities,"Credibility, verification, validation, uncertainty, and use-boundary requirements",Requires explicit uncertainty and evidence handling,Public NASA standard,not_applicable,not_applicable,not_applicable,not_applicable,Supports independent validation and intended-use controls,not_applicable,Credibility evidence rather than predictive score,Requires justified uncertainty treatment,not_applicable,not_applicable,Credibility gaps and limitations must be retained,Standard does not certify this model or supply mission data,"Governs data card, intended use, validation evidence, and claim boundary",strong,strong,not_applicable,not_applicable,strong,not_applicable,not_applicable,strong,strong,https://standards.nasa.gov/sites/default/files/standards/NASA/B/1/NASA-STD-7009B-Final-3-5-2024.pdf,,included_primary_or_authoritative_record
E013,"NASA, NASA-STD-3001 Volume 2 Revision E",2025,authoritative human-system standard,"Crew health, performance, habitability, and environmental constraints",not_applicable,Agency-level human-system requirements for human-rated systems,Requirements and application boundaries rather than statistical model,Active public NASA standard dated 2025-05-01,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Human-system compliance,Requirement-specific,not_applicable,not_applicable,Noncompliance must remain a hard gate,Public standard is not an Orion mission-specific operational waiver or threshold source,Keep sleep/acceleration constraints separate from prediction score and apply conservative assumptions,strong,strong,not_applicable,not_applicable,strong,not_applicable,not_applicable,strong,strong,https://standards.nasa.gov/standard/NASA/NASA-STD-3001_VOL_2,,included_primary_or_authoritative_record
E014,"Xie and Dempster, Feasible Low-Thrust Trajectory Identification via a Deep Neural Network Classifier",2022,primary classical surrogate research,Pre-optimization feasibility classification for low-thrust transfers,Simulated low-thrust optimization cases,Predict optimization convergence/feasibility before expensive solves,Randomly initialized transfer cases,Simulated trajectory-optimization data; code not identified,DNN classifier with tested classical alternatives,not_applicable,not_applicable,Paper-specific model comparison,Reported held-out classification evaluation; group leakage controls unclear,Multiple tested classifiers,Classification accuracy reported as 97.9 percent for DNN,Aggregate classification metrics; limited seed reporting,Classical simulation,not_identified,Infeasible optimizer cases are the target rather than discarded,Low-thrust convergence label is not Orion flight feasibility,Keep every nonconvergence outcome and train an explicit feasibility head,partial,partial,partial,unclear,partial,not_applicable,not_applicable,partial,strong,https://arxiv.org/abs/2202.04962,,included_primary_or_authoritative_record
E015,"Zhang and Topputo, Neural Approximators for Low-Thrust Trajectory Transfer Cost and Reachability",2025,primary classical surrogate preprint,General low-thrust transfer cost and reachability prediction,Optimized low-thrust transfer datasets across orbital environments,"Predict velocity increment, transfer time, and reachability",Cross-domain and third-party validation rather than operational uncertainty,"Large simulated dataset; authors report C++, Python, and MATLAB implementations",Pretrained neural approximators with self-similar transformation,not_applicable,not_applicable,Scaling-law study over dataset/model size,Third-party and mission-analysis validation reported; exact grouping requires inspection,Trajectory optimizers and prior approximators,Relative velocity-increment and minimum-time errors,Learning-scaling and external-validation evidence,Classical simulation,reported_public,Reachability is a separate output,Preprint and low-thrust domain; not crewed cislunar correction truth,"Use cost plus feasibility outputs, learning curves, physics scaling, and external grouped tests",partial,partial,partial,unclear,partial,not_applicable,not_applicable,strong,partial,https://arxiv.org/abs/2508.02911,,included_primary_or_authoritative_record
E016,"Otten et al., Quantum Machine Learning Using Gaussian Processes with Performant Quantum Kernels",2020,primary quantum-kernel research,One- and multidimensional regression plus reinforcement-learning demonstrations,Generic regression/control tasks,Construct quantum-enhanced kernels inspired by performant classical kernels,Gaussian-process predictive setting,Paper benchmark tasks,Gaussian processes with classical kernels,Quantum kernels embedded in Gaussian processes,Simulation and quantum hardware demonstrations; task-specific circuits,Kernel design is informed by classical inductive bias,Benchmark-specific; mission grouping absent,Classical inspiration kernels,Regression/control prediction performance,GP uncertainty; broad advantage claims remain task-specific,Both simulation and hardware,unclear,States unsimulability is necessary but insufficient for advantage,Generic tasks and designed kernels do not establish cislunar benefit,Register quantum kernel regression but tune inductive bias and compare to GP/RBF baselines,partial,not_applicable,partial,unclear,partial,partial,strong,partial,partial,https://arxiv.org/abs/2004.11280,,included_primary_or_authoritative_record
E017,"Sweke et al., Potential and Limitations of Random Fourier Features for Dequantizing Quantum Machine Learning",2025,QML dequantization theory,Variational-QML regression and classical random-feature approximation,not_applicable,Characterize when RFF linear regression efficiently approximates PQC regression,Formal sample-complexity and approximation statements,Theory with architecture-dependent conditions,Random Fourier feature regression,Variational PQC regression,Circuit architecture and Fourier structure determine dequantization conditions,Architecture-dependent,Statistical-learning formulation,RFF and tensor-network-motivated classical models,Risk gap and sample/feature complexity,Formal high-probability bounds,Theory; no hardware advantage demonstration,unclear,Explicitly identifies efficiently dequantizable regimes and unresolved worst cases,Conditions can be hard to verify without solving the learning problem,Add matched random-feature/classical residual controls before any quantum claim,partial,not_applicable,strong,unclear,strong,strong,not_applicable,partial,strong,https://arxiv.org/abs/2309.11647,,included_primary_or_authoritative_record
E018,"Peters and Schuld, Generalization Despite Overfitting in Quantum Machine Learning Models",2023,QML learning-theory research,Regression on noisy signals with quantum/Fourier models,not_applicable,Characterize benign overfitting in quantum regression models,Noisy signals and interpolation behavior,Theory plus demonstration example,Interpolating Fourier-feature regression,Quantum models linked to encoding/state-preparation structure,Circuit structure analyzed; no hardware benchmark,not_primary,Generalization setting,Classical Fourier-feature model,Generalization under noisy interpolation,Noise/generalization theory,Theory and demonstration,unclear,Overfitting is not treated as automatic failure or success,Theory does not replace held-out mission testing,Report learning curves and held-out errors; never infer generalization from training fit,partial,not_applicable,partial,unclear,strong,partial,not_applicable,partial,strong,https://arxiv.org/abs/2209.05523,10.22331/q-2023-12-20-1210,included_primary_or_authoritative_record
E019,"Shaydulin and Wild, Importance of Kernel Bandwidth in Quantum Machine Learning",2022,primary quantum-kernel benchmark,Quantum-kernel classification and regression behavior,not_applicable,Control quantum-kernel inductive bias through bandwidth,Multiple datasets and numerical repetitions,Classical datasets; raw data and code released,SVC/kernel ridge and best classical methods,Quantum feature-map kernel,Multiple feature maps and qubit-scaling experiments,Bandwidth is explicitly tuned by cross-validation,Cross-validation; mission grouping absent,Best classical methods and reproduced negative quantum result,Prediction accuracy and kernel spectrum/generalization,Dataset-level comparisons,Numerical quantum-kernel experiments,public,Reproduces degradation with qubit count before bandwidth correction,Competitive performance after tuning is not quantum advantage,Treat encoding scale/bandwidth as frozen tuning parameters and report negative scaling,partial,not_applicable,strong,partial,partial,strong,not_applicable,strong,strong,https://arxiv.org/abs/2111.05451,10.1103/PhysRevA.106.042407,included_primary_or_authoritative_record
E020,"Pernot, Huang, and Savin, Impact of Non-Normal Error Distributions on the Benchmarking and Ranking of Quantum Machine Learning Models",2020,primary statistical benchmark analysis,Atomistic kernel-regression error distributions,"Atomistic simulation, not trajectory dynamics",Assess model ranking when prediction errors are non-normal,Empirical residual-distribution analysis,QM7b and calculated reference methods,Kernel ridge regression with SLATM representation,No quantum circuit; QML here means ML for quantum chemistry,not_applicable,Learning-set adaptation analyzed,Dataset benchmark; transfer of outliers into training illustrates selection sensitivity,HF and MP2 reference errors,MAE and residual-distribution diagnostics,Shows MAE can mis-rank non-normal errors,Classical computation,unclear,Tail/outlier behavior is central,Terminology differs from gate-based QML and domain is chemistry,"Report RMSE, MAE, tails, CVaR, and seed rows rather than a single average",partial,not_applicable,strong,unclear,strong,not_applicable,not_applicable,partial,strong,https://arxiv.org/abs/2004.02524,10.1088/2632-2153/aba184,included_primary_or_authoritative_record
E021,"Havlicek et al., Supervised Learning with Quantum-Enhanced Feature Spaces",2019,primary quantum-kernel hardware research,Small supervised classification feature-space demonstration,not_applicable,Use quantum feature maps for classification,Finite experimental data and device noise,Engineered small classification data,Classical kernel/SVM processing,Quantum feature-space kernel and variational classifier,Small superconducting-processor demonstration,Task-specific feature map,Small benchmark split,Classical supervised methods,Classification accuracy,Limited small-sample hardware evidence,Quantum hardware and simulation,partial_or_linked,Noise/small-scale limits constrain interpretation,Engineered classification task does not establish trajectory-regression advantage,Include finite-shot/noise conditions but classify hardware claims as external validation only,partial,not_applicable,partial,unclear,partial,strong,strong,partial,partial,https://www.nature.com/articles/s41586-019-0980-2,10.1038/s41586-019-0980-2,included_primary_or_authoritative_record
E022,"Schuld and Killoran, Quantum Machine Learning in Feature Hilbert Spaces",2019,QML theory and method research,Quantum feature maps and kernel/variational learning,not_applicable,Relate quantum encoding to feature maps and kernel methods,not_primary,Two-dimensional mini-benchmark illustrations,Classical kernel method over quantum-computed inner products,Quantum kernel estimation and variational linear model in Hilbert space,Continuous-variable example and conceptual near-term device path,Task-specific,Mini-benchmark only,Kernel-method framing,Illustrative classification,No practical advantage test,Theory/illustration,unclear,No broad empirical advantage claim,"Foundational mechanism, not evidence of application benefit",Use overlap kernel with explicit classical kernel comparator and encoding report,partial,not_applicable,partial,unclear,partial,strong,partial,partial,strong,https://arxiv.org/abs/1803.07128,10.1103/PhysRevLett.122.040504,included_primary_or_authoritative_record
E023,"Huang et al., Power of Data in Quantum Machine Learning",2021,QML theory and large numerical benchmark,Assessment of when data lets classical models match quantum models,not_applicable,Bound and test prediction advantage for quantum versus classical learning,Prediction-error bounds and numerical experiments,Engineered quantum-learning datasets and source data,Classical kernel models and classical approximations of quantum models,Quantum and projected quantum kernels,Numerical tests up to 30 qubits on engineered tasks,Embedding/task alignment is central,Supervised-learning train/test framework,Classical ML and approximations of quantum models,Prediction error and geometric advantage indicators,Rigorous asymptotic and empirical bounds,Theory and classical numerical simulation,reported_open_source,Shows hard-to-compute circuits can still be learnable by classical models from data,Advantage examples use engineered data and need practical validation,"Require classical approximations, task alignment checks, and no advantage language for simulation",strong,not_applicable,strong,strong,strong,strong,partial,strong,strong,https://www.nature.com/articles/s41467-021-22539-9,10.1038/s41467-021-22539-9,included_primary_or_authoritative_record
