figure_id,title,phase,paper_section,evidence_status,source_data,generator,png_path,png_sha256,png_bytes,svg_path,svg_sha256,svg_bytes,caption,claim_boundary,campaign_source_commit,reporting_source_commit,accepted_d007_candidate_commit,reporting_module_sha256,reporting_script_sha256,figure_generator_sha256
RFIG-012,D003-v1 F1 generation runtime,computational methodology,Methods: compute,reference_hardware_observation,data/processed/simulator/scenarios/generation_ledger_v2.csv;data/processed/reporting/gate5_f1_campaign_runtime.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f1_generation_runtime.png,1a243f569b57df8c13ea426662822b710a600a44d30a988741c383c348048e0c,179564,artifacts/research_figures/d003_f1_generation_runtime.svg,3c9282df4702e704340cc525192b0fb2e63600b57fa64f7f075c241b6df1c283,67764,"The 13-group four-worker F1 scale-up consumed 63,639.442 seconds of summed group work in 18,148.400 seconds of wall time, for effective concurrency 3.51 on the reference laptop.",Reference-hardware scheduling evidence only; G01 was a separate serial checkpoint and runtime does not measure model or mission performance.,,,,,,
RFIG-014,Post-acceptance Gate 4 literature discovery refresh,Gate 4 literature update,Methods: evidence coverage,post_acceptance_discovery_update,literature/search_log.csv;literature/screening_log.csv;literature/extraction_matrix.csv,scripts/make_research_figures.py,artifacts/research_figures/gate4_literature_discovery_refresh.png,3ca649d48835b6e8c77df6fc4844f151d045977cf5b72668f5bdc5893914f1a4,205029,artifacts/research_figures/gate4_literature_discovery_refresh.svg,42ff697abbd133a603f901d5508e8015a6716e35997c3ca3f56afcc9c7483913,73453,"The post-acceptance refresh records 4,218 unique discovery rows: 3,288 title/abstract exclusions, 926 pending full-text screens, and four provisional includes; the 23 accepted extracted records remain unchanged.","Discovery-flow evidence only; the refresh is incomplete and did not alter the accepted Gate 4 model, threshold, split, or evidence claims.",,,,,,
RFIG-015,Valid D003-v1 G01 F0/F1/F2 checkpoint,Gate 5 scenario generation,Methods: fidelity and compute,repair_validation_development,data/processed/simulator/scenarios/post_d003_f0_audit.csv;data/processed/simulator/scenarios/post_d003_f1_g01_audit.csv;data/processed/simulator/scenarios/post_d003_f2_g01_audit.csv;data/processed/simulator/scenarios/generation_ledger_v2.csv;data/processed/reporting/gate5_f2_campaign_runtime.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_g01_three_fidelity_checkpoint.png,494d72b8e5e384c3b912a37049619ea497963000c4d19bb951820a893792dc4b,143609,artifacts/research_figures/d003_g01_three_fidelity_checkpoint.svg,73247da35f05a61062008014c8fa7348af8c968db73a6a04ce2caf025f6f6433,73191,"F0, F1, and F2 G01 all pass strict audit with 80% feasible candidates and a feasible numerical reference in every nominal-U0 decision set; F2 G01 required 450.835 seconds for 250 rows.","Nominal-U0 development qualification only; row counts and force-model workloads differ, and the timing values do not measure model or mission performance.",,,,,,
RFIG-016,Valid D003-v1 F2 feasibility coverage,Gate 5 scenario generation,Methods: scenario coverage,development_and_calibration_diagnostic,data/processed/simulator/scenarios/post_d003_f2_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f2_feasibility_coverage.png,3cd94ce334da0365acc568f1ec6583560ba01ad3486f437ba8cefc6de3830c3c,165673,artifacts/research_figures/d003_f2_feasibility_coverage.svg,f7b76447eac081ccd3a3f12df56577e095570269d1db18a487349dc6a9359aed,70515,"All 3,500 F2 rows pass strict audit; 642 candidates are feasible and 423 of 700 decision sets have no feasible numerical reference.",Development/calibration coverage diagnostic only; calibration groups are marked and cannot support model fitting or selection.,,,,,,
RFIG-017,D003-v1 F2 generation runtime,computational methodology,Methods: compute,reference_hardware_observation,data/processed/simulator/scenarios/generation_ledger_v2.csv;data/processed/reporting/gate5_f2_campaign_runtime.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f2_generation_runtime.png,bd0acaabe11de1b922707a174df0461b3dc19b02e6f6610cc8b9b94be6d04240,174645,artifacts/research_figures/d003_f2_generation_runtime.svg,a0e3404803f6d9bf4cc0ec37a1a6e7a38eab546d0535179cbb94af65f0e6b42d,66344,"The 13-group two-worker F2 scale-up consumed 15,604.130 seconds of summed group work in 7,978.900 seconds of wall time, for effective concurrency 1.96 on the reference laptop.",Reference-hardware scheduling evidence only; G01 was a separate serial checkpoint and runtime does not measure model or mission performance.,,,,,,
RFIG-018,D003-v1 full unlocked scenario campaign audit summary,Gate 5 scenario generation,Methods: generator qualification,development_and_calibration_diagnostic,data/processed/simulator/scenarios/post_d003_f0_audit.csv;data/processed/simulator/scenarios/post_d003_f1_audit.csv;data/processed/simulator/scenarios/post_d003_f2_audit.csv;data/processed/simulator/scenarios/generation_ledger_v2.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_full_scenario_campaign_summary.png,4a920f18e801a792bccb8572832175abcf5fbf833e6e56706b6f1f920918d2f8,209366,artifacts/research_figures/d003_full_scenario_campaign_summary.svg,3e737e23de6f5593861a8908e87dfd0818f02b6481d0cb3eec0e90f9b03fe5fc,90228,"All 45,500 unlocked F0/F1/F2 rows pass strict audit; 9,417 candidates are feasible and 4,957 of 9,100 decision sets have no feasible numerical reference.",Exact fidelity-level diagnostic table only; different force-model workloads are not a speed benchmark and no value is model-performance evidence.,,,,,,
RFIG-019,Gate 5 literature-hardening controls,Gate 5 pre-fit hardening,Methods: model benchmark,pre_fit_literature_hardening,data/processed/reporting/gate5_literature_hardening_matrix.csv,scripts/make_research_figures.py,artifacts/research_figures/gate5_literature_hardening_controls.png,04a2208cba0863a96c4a42c4dd217e42866e0df677e84e99eead093ddbb70ad2,168479,artifacts/research_figures/gate5_literature_hardening_controls.svg,5d89d23afe2f9071c2230c47912ed344738beb0eb7a232c99a8029a3da3d5b35,71738,"Primary and official literature was translated into pre-fit Gate 5 controls: ranking guards, required diagnostics, matched interpretation controls, deferred QRL topics, and excluded non-primary claims.","Process-control evidence only; this figure adds no model family, split, threshold, final-test access, or model-performance claim.",,,,,,
RFIG-020,Gate 5 grouped cross-validation fold allocation,Gate 5 runner freeze,Methods: model benchmark,pre_fit_runner_freeze,data/processed/reporting/gate5_cv_fold_manifest.csv,scripts/make_research_figures.py,artifacts/research_figures/gate5_grouped_cv_fold_allocation.png,bcc00afe280465d5905cd62cc62062232a0d4c8bc1db413f6305ead9d20d832d,135142,artifacts/research_figures/gate5_grouped_cv_fold_allocation.svg,23e763416a522c7ed65c8f312d79a95342cfad597f375d9f70596aa8b6722dee,57741,"All 39,000 development rows are assigned by whole frozen groups to one of five validation folds; each fold retains F0, F1, and F2 coverage.",Outcome-blind methods evidence only; unequal two- and three-group fold sizes motivate pooled out-of-fold primary scoring and separate fold diagnostics.,,,,,,
RFIG-021,Gate 5 development learning curves and matched controls,Gate 5 development benchmark,Results: preregistered algorithm trigger,development_only_model_evidence,experiments\phase1_tuning_results.csv,scripts/make_gate5_result_figures.py,artifacts\research_figures\gate5_development_learning_curves.png,dc299e52e58c55a06a6f10b066a0f2d72f95a2fd191bedca92070bbb6696391f,151448,artifacts\research_figures\gate5_development_learning_curves.svg,cd845dff5099e87c2d94602205f555b4e1cf0787fe0434709f1acef61c766adb,53514,Pooled development-only evidence covers every authorized rung and matched PCA dimension; terminally nonadvancing families stop at their frozen retention gate.,"Development model-selection evidence only; no calibration, final-test, mission, or hardware-advantage claim.",6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
RFIG-022,Gate 5 selected model 20-seed summary,Gate 5 development benchmark,Results: preregistered algorithm trigger,development_only_model_evidence,data\processed\reporting\gate5_model_summary.csv,scripts/make_gate5_result_figures.py,artifacts\research_figures\gate5_selected_model_seed_summary.png,4d0f9cfeec0514da6085d5d6ba51b66407f8cbaa1a60cc50e1735b45c584587c,64577,artifacts\research_figures\gate5_selected_model_seed_summary.svg,a9378321320fddd0028f3e105a0b684c7a901ba68041c7679e01dd00b16d2f2c,38661,Selected candidate families are summarized over the 20 frozen development seed indices.,Development stability evidence only; the chart cannot establish final-test or mission performance.,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
RFIG-023,Gate 5 algorithm-trigger regime controls,Gate 5 development benchmark,Results: preregistered algorithm trigger,development_only_model_evidence,data\processed\reporting\gate5_regime_trigger.csv;experiments\gate5_trigger_summary.json,scripts/make_gate5_result_figures.py,artifacts\research_figures\gate5_algorithm_trigger_regime_control.png,fa6c90c6ed885e337a9e23ecb1d1db3bbe93e0cc08a8554018946de7e592ebc0,46198,artifacts\research_figures\gate5_algorithm_trigger_regime_control.svg,aff03b5eed268a66532f882e95920c969db2c718d2de93dbb76e7ae668c6f5ad,23161,The preregistered trigger is shown beside the strongest classical and tuned dequantization controls.,A passing development trigger could support human authorization of one algorithm study only; it is not quantum advantage or flight evidence.,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
RFIG-024,Post-Gate-5 exploratory protocol boundary,Post-Gate-5 exploratory protocol,Methods: exploratory protocol,post_gate5_exploratory_protocol,data/processed/reporting/post_gate5_exploratory_protocol_matrix.csv,scripts/make_post_gate5_exploratory_figures.py,artifacts/research_figures/post_gate5_exploratory_protocol_boundary.png,f57c543b7127a2d278ac22023730539c1d5d491fcfa8b27902d07009b548fa75,294560,artifacts/research_figures/post_gate5_exploratory_protocol_boundary.svg,b0ac4ec4a023755b3533318d9297cc470b76572e4050428e97644f3bcdbee6c9,100910,The post-Gate-5 branch opens only Q01b projected quantum kernel and a feasibility-only quantum-kernel classifier as near-term exploratory QML tests.,"Protocol-boundary evidence only; no model result, calibration/final-test access, Gate 6 authorization, or quantum-advantage claim.",,,,,,
RFIG-025,D008 exploratory implementation freeze,Post-Gate-5 exploratory protocol,Methods: exploratory implementation freeze,pre_execution_implementation_freeze_accepted,configs/post_gate5_exploratory.yaml;data/processed/reporting/post_gate5_exploratory_trial_manifest.csv;data/processed/reporting/post_gate5_future_research_discussion.csv,scripts/make_post_gate5_implementation_figure.py,artifacts/research_figures/post_gate5_implementation_freeze.png,4ab172892e5b6ede9dcf321cfe41ef0770d37d376bf0096ad42da62d13ff2bfe,387270,artifacts/research_figures/post_gate5_implementation_freeze.svg,3f0b2f41c47be51fa86fb92dac86b73e6f07d44693c31877db4732067bc277cf,134518,"Accepted D008 freezes a shared 30-projection design for Q01b cost regression and FQK feasibility classification, with grouped development folds, matched controls, bounded staging, and a mandatory future-research firewall for every failure or stop.","Accepted pre-execution methods record only; no research fit, result, calibration/final-test read, Gate 5 reinterpretation, Gate 6 authorization, hardware run, or quantum-advantage claim.",,,,,,
RFIG-026,D011 exploratory learning curves and matched controls,Post-Gate-5 exploratory protocol,Results: post-Gate-5 exploratory models,development_only_exploratory_model_evidence,data/processed/reporting/post_gate5_p001/tuning_summary.csv,scripts/make_post_gate5_result_figures.py,artifacts/research_figures/post_gate5_d011_learning_curves.png,b2d906e3ad3dc5f21bf56b05a9b3571f04efca8ad71c0075bc5e6a8ce4223a13,266486,artifacts/research_figures/post_gate5_d011_learning_curves.svg,94e4f1bb1e11ef75509802ac592e2359dbf99cb9db92132c10172c100ccba50a,83762,Best eligible projected configurations are shown across frozen training rungs beside source-matched controls; stopped evidence remains absent.,"Development-only exploratory or synthetic compute evidence; no calibration, final-test, mission, hardware, quantum-advantage, Gate 5 revision, or Gate 6 claim.",,083d777961a615885573c9f18efeb9802755890a,,,,18ce31f4f9b6f5d7f2ca339d86e3c424bb8b8eb218320c509818e98dc54c2e9b
RFIG-027,D011 projected-kernel geometry and dequantization diagnostics,Post-Gate-5 exploratory protocol,Results: post-Gate-5 exploratory diagnostics,development_only_kernel_diagnostics,data/processed/reporting/post_gate5_p001/kernel_diagnostics.csv,scripts/make_post_gate5_result_figures.py,artifacts/research_figures/post_gate5_d011_kernel_diagnostics.png,7204f943104df2cc058f1af3ea644c056e97dd1c491c1fa05823146c521f7fe0,275065,artifacts/research_figures/post_gate5_d011_kernel_diagnostics.svg,bc13cb9897ee2f9dbfc2831ce7af43aff51d74e5921b2b0a50bb51e74ecc903c,123270,Selected projected kernels are compared with A02 classical RBF geometry on identical fold-local PCA rows and Nystrom construction.,"Development-only exploratory or synthetic compute evidence; no calibration, final-test, mission, hardware, quantum-advantage, Gate 5 revision, or Gate 6 claim.",,083d777961a615885573c9f18efeb9802755890a,,,,18ce31f4f9b6f5d7f2ca339d86e3c424bb8b8eb218320c509818e98dc54c2e9b
RFIG-028,D011 FQK predictive and safety-filter endpoints,Post-Gate-5 exploratory protocol,Results: post-Gate-5 exploratory feasibility,development_only_feasibility_evidence,data/processed/reporting/post_gate5_p001/exploratory_decision.json;data/processed/reporting/post_gate5_p001/control_summary.csv,scripts/make_post_gate5_result_figures.py,artifacts/research_figures/post_gate5_d011_fqk_endpoints.png,01c9e53ec232db1eaa7c400d49970895e49df6b39363234e9618209fb4ef7eb6,222910,artifacts/research_figures/post_gate5_d011_fqk_endpoints.svg,6897b3efed09368b8bce1e433e0fa340190f24b0a4e754b8608674754235d9a9,74828,"FQK development-only Brier, discrimination, fixed-threshold recall/precision, and error consequences are compared with the strongest complete control.","Development-only exploratory or synthetic compute evidence; no calibration, final-test, mission, hardware, quantum-advantage, Gate 5 revision, or Gate 6 claim.",,083d777961a615885573c9f18efeb9802755890a,,,,18ce31f4f9b6f5d7f2ca339d86e3c424bb8b8eb218320c509818e98dc54c2e9b
RFIG-029,Post-Gate-5 failure and future-research firewall,Post-Gate-5 exploratory protocol,Discussion: limitations and future research,governed_failure_or_exploratory_negative,data/processed/reporting/post_gate5_future_research_discussion.csv;data/processed/reporting/post_gate5_p001/exploratory_decision.json,scripts/make_post_gate5_result_figures.py,artifacts/research_figures/post_gate5_failure_and_future_firewall.png,a0859250a5a11a5f6599775391e4feffda494f2fa57dfbc93de48c7005b17a62,362479,artifacts/research_figures/post_gate5_failure_and_future_firewall.svg,ce46baa2e873cab90aeb04e8adde9f1b6b00e259df5d102c91b3e4b4a75aac46,149203,"Technical stops, terminal nonadvancement, or valid negative results are separated from suggestions that require a new protocol and cannot rescue P001.","Development-only exploratory or synthetic compute evidence; no calibration, final-test, mission, hardware, quantum-advantage, Gate 5 revision, or Gate 6 claim.",,083d777961a615885573c9f18efeb9802755890a,,,,18ce31f4f9b6f5d7f2ca339d86e3c424bb8b8eb218320c509818e98dc54c2e9b
RFIG-030,D010 synthetic compute resource admission,Post-Gate-5 exploratory protocol,Methods: compute admission,synthetic_compute_admission_pass,data/processed/reporting/post_gate5_compute_preflight_rerun.json,scripts/make_post_gate5_preflight_result_figure.py,artifacts/research_figures/post_gate5_d010_resource_admission.png,62da6b8c9a09d928b50ff3741813794a4cae72529cd75b4e3978c358db92be9d,241899,artifacts/research_figures/post_gate5_d010_resource_admission.svg,3345660fd66368556409b4eebf5c341eda43dd7862170bf8671050b1e40c60af,95464,The unchanged D009 synthetic workload passed all D010 laptop compute-admission limits after typed memory telemetry validation; bars show conservative boundary pressure after the frozen 25% margin.,"Synthetic compute-admission evidence only. This PASS authorizes preparation of D011, not research-data fitting, QML performance, Gate 5 reinterpretation, hardware advantage, or Gate 6.",,882bfd58d1154194b011dfc6fcef974cfe96ead3,,,,c9ddd03d8adb4cf424d6751946d261bbb81846652737c414ee2f699f4d277f24
RFIG-031,D011 largest-fold synthetic compute admission,Post-Gate-5 exploratory protocol,Methods: corrected compute admission,synthetic_fold_shape_compute_admission,data/processed/reporting/post_gate5_d011_c2_fold_shape_preflight.json,scripts/make_post_gate5_result_figures.py,artifacts/research_figures/post_gate5_d011_fold_shape_admission.png,4847a8b82e77592115889b48037d265339ea12a210a2030aead954e40c0f3dbe,176950,artifacts/research_figures/post_gate5_d011_fold_shape_admission.svg,700b258e2cefa63001bf6b3c051ea0ee7730fbae92e3e270f193663413f208ce,72200,The largest frozen validation-fold shape passed every unchanged laptop boundary under conservative no-reuse accounting.,"Development-only exploratory or synthetic compute evidence; no calibration, final-test, mission, hardware, quantum-advantage, Gate 5 revision, or Gate 6 claim.",,083d777961a615885573c9f18efeb9802755890a,,,,18ce31f4f9b6f5d7f2ca339d86e3c424bb8b8eb218320c509818e98dc54c2e9b
RFIG-032,D014-C classical-first freeze map,Post-Gate-5 classical-first planning,Methods: future protocol boundary,classical_first_freeze_proposal,configs/post_gate5_d014_classical_first_freeze.yaml,scripts/make_post_gate5_d014_freeze_figure.py,artifacts/research_figures/post_gate5_d014_classical_first_freeze.png,6006881dbf9c35ef18a805a625594b5514ff0d3cb3a3ab88388c9f35cdeeba16,354279,artifacts/research_figures/post_gate5_d014_classical_first_freeze.svg,42e8a6bbd702e7ddda4bb480be8b32f60695b48f19991c5f1cf0aad55c0ab9fe,125479,D014-C locks residual-cost and safety-filter classical targets before any later QML invention or executable successor work.,"Freeze-proposal evidence only; no implementation, synthetic validation, development-data fitting, calibration/final-test access, hardware, Gate 5 reinterpretation, QML invention claim, quantum-advantage claim, or Gate 6.",,bfda0c698cd10a83cd46b8fc7ba701931da93263,,,,af5b78349d153674f69229223fbb7ba33049b4a3ba4b2b0637b727a6209d3183
RFIG-033,D016-C classical-first synthetic compute admission,Post-Gate-5 classical-first planning,Methods: compute admission,classical_first_synthetic_compute_admission,data/processed/reporting/post_gate5_d016_classical_preflight.json,scripts/make_post_gate5_d016_preflight_figure.py,artifacts/research_figures/post_gate5_d016_classical_compute_admission.png,91320823abe27dc598d3ad48d04222b7697ec8ce64f95c5a5f313289f7269255,178973,artifacts/research_figures/post_gate5_d016_classical_compute_admission.svg,b0fc9840ff42f6f63b097e047671f500311f170ce97245b53f60976dbd803594,74988,D016-C projects the clean-source synthetic CRES/CSAFE largest-fold workload across the frozen fold and seed count against the local laptop compute limits.,"Synthetic compute-admission evidence only; no development-data fitting, calibration/final-test access, hardware/GPU execution, Gate 5 reinterpretation, QML invention claim, quantum-advantage claim, or Gate 6.",,45409a86a5e450d72ba7f043715956fa5b916974,,,,2b53556b663b21ff04c63e792a69b687a332f1a5203d0d1ff15fc60a76b0f958
RFIG-034,D017-C CRES development residual-cost results,Post-Gate-5 classical-first development,Results: classical-first residual cost,development_only_classical_first_residual_cost,data/processed/reporting/post_gate5_d017_classical_first/cres_summary.csv;data/processed/reporting/post_gate5_d017_classical_first/campaign_summary.json,scripts/make_post_gate5_d017_figures.py,artifacts/research_figures/post_gate5_d017_cres_residual_cost.png,3bc82b978089464da883bfdaa76bd68b71ae09e47b6f482e5c4dfd99bcfa4221,104130,artifacts/research_figures/post_gate5_d017_cres_residual_cost.svg,c426f29835075be0b12d772a139934e8d281d0900e437afe2bd61ae1d7a31b29,45378,D017-C compares CRES residual-cost controls over the original grouped development split.,"Development-only classical-first evidence; no calibration, final-test, hardware/GPU, Gate 5 reinterpretation, QML invention claim, quantum-advantage claim, mission, or Gate 6.",,419844a690d625502718e00b3e4dcafc6d99286c,,,,e922cfe7a4c79260017134cca7d157b940c86e454d0ffb8204cdbce35bb5ae95
RFIG-035,D017-C CSAFE development safety-filter results,Post-Gate-5 classical-first development,Results: classical-first safety filter,development_only_classical_first_safety_filter,data/processed/reporting/post_gate5_d017_classical_first/csafe_summary.csv;data/processed/reporting/post_gate5_d017_classical_first/campaign_summary.json,scripts/make_post_gate5_d017_figures.py,artifacts/research_figures/post_gate5_d017_csafe_safety_filter.png,c53e9fcc12daba4e5562d12099b955c38766081de0fe41f77e20cba87886c2d1,104010,artifacts/research_figures/post_gate5_d017_csafe_safety_filter.svg,b721c9dff3f8b96423c0339dc83d21417c3a5ff92f846c179d97d90c3415c851,43980,D017-C compares CSAFE safety-filter controls over the original grouped development split.,"Development-only classical-first evidence; no calibration, final-test, hardware/GPU, Gate 5 reinterpretation, QML invention claim, quantum-advantage claim, mission, or Gate 6.",,419844a690d625502718e00b3e4dcafc6d99286c,,,,e922cfe7a4c79260017134cca7d157b940c86e454d0ffb8204cdbce35bb5ae95
